review,model,sentiment
"This product stopped working after only a few uses.  Very disappointing.",Gemini-1.5-Flash,negative
"The movie was predictable and cliché.  I've seen better.",Gemini-1.5-Flash,negative
"This event was underwhelming and disappointing.  I expected so much more.",Gemini-1.5-Flash,negative
"The venue was poorly maintained and unclean.  I'm disgusted.",Gemini-1.5-Flash,negative
"This product is a complete rip-off.  The quality is terrible.",Gemini-1.5-Flash,negative
"The movie was boring and lacked any substance.  I'm so disappointed.",Gemini-1.5-Flash,negative
"This event was poorly executed and lacked any creativity.",Gemini-1.5-Flash,negative
"The venue was uncomfortable and lacked basic amenities.  I was miserable.",Gemini-1.5-Flash,negative
"This product doesn't work as described.  False advertising!",Gemini-1.5-Flash,negative
"The movie was a complete waste of time and money.  Don't bother.",Gemini-1.5-Flash,negative
"This event was disorganized and lacked any real entertainment value.",Gemini-1.5-Flash,negative
"The venue was difficult to get to and poorly signposted. I almost missed it.",Gemini-1.5-Flash,negative
"This product is cheaply made and broke easily.  I'm so angry.",Gemini-1.5-Flash,negative
"The movie was so predictable, it was insulting.  I'm so mad.",Gemini-1.5-Flash,negative
"This event was a huge letdown.  I'm so angry.",Gemini-1.5-Flash,negative
"The venue was overpriced and understaffed.  It was chaos.",Gemini-1.5-Flash,negative
"This product is a total waste of money.  I regret buying it.",Gemini-1.5-Flash,negative
"The movie was just plain bad.  I can't believe I paid to see it.",Gemini-1.5-Flash,negative
"This event was a complete waste of my evening.  I'm so frustrated.",Gemini-1.5-Flash,negative
"The venue was cramped and uncomfortable, making the event unpleasant.",Gemini-1.5-Flash,negative
"This product is faulty and I'm extremely unhappy with it.",Gemini-1.5-Flash,negative
"The movie was a complete disappointment.  I'm so upset.",Gemini-1.5-Flash,negative
"This event was poorly advertised and didn't live up to the hype.",Gemini-1.5-Flash,negative
"The venue was a fire hazard.  Seriously, it was dangerous.",Gemini-1.5-Flash,negative
"This product is useless.  It doesn't do what it's supposed to do.",Gemini-1.5-Flash,negative
"The movie was slow, boring, and had terrible acting.",Gemini-1.5-Flash,negative
"This event was a total disaster.  I'll never go back.",Gemini-1.5-Flash,negative
"The venue was small, dirty, and the sound was terrible.",Gemini-1.5-Flash,negative
"This product is cheaply made and doesn't last.  Avoid it!",Gemini-1.5-Flash,negative
"The movie was confusing and lacked a coherent plot.",Gemini-1.5-Flash,negative
"This event was poorly organized and lacked any clear direction.",Gemini-1.5-Flash,negative
"The venue was uncomfortable and lacked adequate seating.",Gemini-1.5-Flash,negative
"This product is a scam!  I demand a refund!",Gemini-1.5-Flash,negative
"The movie was predictable and lacked any originality.",Gemini-1.5-Flash,negative
"This event was a disaster.  The performers were unprofessional.",Gemini-1.5-Flash,negative
"The venue was difficult to access and lacked proper parking.",Gemini-1.5-Flash,negative
"This product is broken and I'm very disappointed.",Gemini-1.5-Flash,negative
"The movie was terrible.  I regret watching it.",Gemini-1.5-Flash,negative
"This event was a complete letdown.  I'm so disappointed.",Gemini-1.5-Flash,negative
"The venue was run-down and in desperate need of repair.",Gemini-1.5-Flash,negative
"This product is a waste of money.  Don't buy it!",Gemini-1.5-Flash,negative
"The movie was boring, predictable, and had terrible dialogue.",Gemini-1.5-Flash,negative
"This event was poorly managed and lacked any customer service.",Gemini-1.5-Flash,negative
"The venue was overcrowded and chaotic.  It was a nightmare.",Gemini-1.5-Flash,negative
"This product is defective and doesn't function properly.",Gemini-1.5-Flash,negative
"The movie was a complete mess.  I couldn't follow the plot.",Gemini-1.5-Flash,negative
"This event was a waste of time and money.  I'm so angry.",Gemini-1.5-Flash,negative
"The venue was uncomfortable and the temperature was unbearable.",Gemini-1.5-Flash,negative
"This product stopped working after only one use.  Unbelievable!",Gemini-1.5-Flash,negative
"The movie was so bad, I walked out halfway through.",Gemini-1.5-Flash,negative
"This event was a complete failure.  I'm so frustrated.",Gemini-1.5-Flash,negative
"The venue was poorly lit and difficult to navigate.",Gemini-1.5-Flash,negative
"This product is junk.  It's cheaply made and doesn't work.",Gemini-1.5-Flash,negative
"The movie was unoriginal and lacked any creativity.",Gemini-1.5-Flash,negative
"This event was a total disappointment.  I'm so upset.",Gemini-1.5-Flash,negative
"The venue was dirty and lacked basic hygiene standards.",Gemini-1.5-Flash,negative
"This product is a complete waste of time.  Don't bother.",Gemini-1.5-Flash,negative
"The movie was slow-paced and lacked any excitement.",Gemini-1.5-Flash,negative
"This event was a total disaster.  I'm so disappointed.",Gemini-1.5-Flash,negative
"The venue was expensive and didn't offer anything special.",Gemini-1.5-Flash,negative
"This product is useless and I regret buying it.",Gemini-1.5-Flash,negative
"The movie was confusing and poorly edited.",Gemini-1.5-Flash,negative
"This event was a complete waste of my time and money.",Gemini-1.5-Flash,negative
"The venue was noisy and disruptive, ruining the event.",Gemini-1.5-Flash,negative
"This product is terrible quality and I'm very unhappy.",Gemini-1.5-Flash,negative
"The movie was predictable and lacked any suspense.",Gemini-1.5-Flash,negative
"This event was a total letdown.  I'm so angry.",Gemini-1.5-Flash,negative
"The venue was poorly maintained and in need of renovation.",Gemini-1.5-Flash,negative
"This product is faulty and I'm demanding a refund.",Gemini-1.5-Flash,negative
"The movie was boring and had terrible special effects.",Gemini-1.5-Flash,negative
"This event was a complete failure.  I regret going.",Gemini-1.5-Flash,negative
"The venue was difficult to find and poorly advertised.",Gemini-1.5-Flash,negative
"This product is a complete rip-off.  The price is outrageous.",Gemini-1.5-Flash,negative
"The movie was uninspired and lacked any originality.",Gemini-1.5-Flash,negative
"This event was a complete disappointment.  I'm so frustrated.",Gemini-1.5-Flash,negative
"The venue was uncomfortable and lacked basic amenities.",Gemini-1.5-Flash,negative
"This product is a waste of my hard-earned money.",Gemini-1.5-Flash,negative
"The movie was a complete waste of my time and money.",Gemini-1.5-Flash,negative
"This event was poorly organized and lacked any entertainment value.",Gemini-1.5-Flash,negative
"The venue was overpriced and understaffed. It was a disaster.",Gemini-1.5-Flash,negative
"This product is cheaply made and falls apart easily.",Gemini-1.5-Flash,negative
"The movie was boring and had terrible acting.",Gemini-1.5-Flash,negative
"This event was a complete letdown. I'm so upset.",Gemini-1.5-Flash,negative
"The venue was dirty and smelled bad.",Gemini-1.5-Flash,negative
"This product is defective and I'm requesting a replacement.",Gemini-1.5-Flash,negative
"The movie was confusing and difficult to follow.",Gemini-1.5-Flash,negative
"This event was a total waste of my time.",Gemini-1.5-Flash,negative
"The venue was inaccessible and difficult to navigate.",Gemini-1.5-Flash,negative
"This product is a disappointment.  I expected better.",Gemini-1.5-Flash,negative
"The movie was unoriginal and predictable.",Gemini-1.5-Flash,negative
"This event was a complete disappointment. I'm so angry.",Gemini-1.5-Flash,negative
"The venue was uncomfortable and lacked proper seating.",Gemini-1.5-Flash,negative
"This product is poorly designed and difficult to use.",Gemini-1.5-Flash,negative
"The movie was boring and had a terrible plot.",Gemini-1.5-Flash,negative
"This event was a complete failure. I'm so frustrated.",Gemini-1.5-Flash,negative
"The venue was poorly maintained and in disrepair.",Gemini-1.5-Flash,negative
"This product is a waste of time and money.",Gemini-1.5-Flash,negative
"The product was okay, nothing special. It did the job, I guess.",Gemini-1.5-Flash,neutral
"The movie was alright.  It wasn't amazing, but it wasn't terrible either.",Gemini-1.5-Flash,neutral
"The event was decent.  Could have been better organized, but it was fine.",Gemini-1.5-Flash,neutral
"The venue was average.  Nothing to write home about, but it served its purpose.",Gemini-1.5-Flash,neutral
"It was a pretty standard product.  Not bad, not great.",Gemini-1.5-Flash,neutral
"The movie was watchable.  I've seen better, but I've seen worse.",Gemini-1.5-Flash,neutral
"The event was acceptable.  Nothing particularly memorable.",Gemini-1.5-Flash,neutral
"The venue was adequate.  It wasn't luxurious, but it was functional.",Gemini-1.5-Flash,neutral
"It was a pretty run-of-the-mill product.  Met my expectations, I suppose.",Gemini-1.5-Flash,neutral
"The movie was passable.  I wouldn't rush to see it again.",Gemini-1.5-Flash,neutral
"The event was okay, nothing to get excited about.",Gemini-1.5-Flash,neutral
"The venue was satisfactory.  It did the job, but nothing more.",Gemini-1.5-Flash,neutral
"The product was functional.  It worked as intended, but wasn't impressive.",Gemini-1.5-Flash,neutral
"The movie was just okay.  I've seen better films.",Gemini-1.5-Flash,neutral
"The event was pretty standard.  Nothing special, but it was fine.",Gemini-1.5-Flash,neutral
"The venue was convenient.  Easy to get to, which was nice.",Gemini-1.5-Flash,neutral
"The product was simple, but effective.  It did what it needed to do.",Gemini-1.5-Flash,neutral
"The movie was mildly entertaining.  Not a masterpiece, but not a disaster.",Gemini-1.5-Flash,neutral
"The event was alright.  It wasn't bad, but it wasn't great either.",Gemini-1.5-Flash,neutral
"The venue was clean and tidy.  That's about all I can say.",Gemini-1.5-Flash,neutral
"The product was as expected.  No surprises, good or bad.",Gemini-1.5-Flash,neutral
"The movie was a decent time killer.  Nothing remarkable, but it passed the time.",Gemini-1.5-Flash,neutral
"The event was reasonably priced.  That was a plus.",Gemini-1.5-Flash,neutral
"The venue was spacious enough.  No complaints there.",Gemini-1.5-Flash,neutral
"The product worked fine.  No issues, no complaints.",Gemini-1.5-Flash,neutral
"The movie was an average film.  Nothing particularly memorable.",Gemini-1.5-Flash,neutral
"The event was well-attended.  That's a good sign, I guess.",Gemini-1.5-Flash,neutral
"The venue had good acoustics.  That was a positive.",Gemini-1.5-Flash,neutral
"The product was pretty basic.  It's functional, but lacks features.",Gemini-1.5-Flash,neutral
"The movie was a bit slow, but it wasn't terrible.",Gemini-1.5-Flash,neutral
"The event could have used better signage.",Gemini-1.5-Flash,neutral
"The venue was easy to find.  That's helpful.",Gemini-1.5-Flash,neutral
"The product was a bit pricey, but it worked well.",Gemini-1.5-Flash,neutral
"The movie was predictable, but enjoyable enough.",Gemini-1.5-Flash,neutral
"The event was a bit disorganized, but overall okay.",Gemini-1.5-Flash,neutral
"The venue was a bit cramped, but manageable.",Gemini-1.5-Flash,neutral
"The product was okay, but I've seen better.",Gemini-1.5-Flash,neutral
"The movie was a bit long, but not unbearable.",Gemini-1.5-Flash,neutral
"The event was decent, but nothing special.",Gemini-1.5-Flash,neutral
"The venue was clean and comfortable enough.",Gemini-1.5-Flash,neutral
"The product met my basic needs.  It wasn't amazing, but it worked.",Gemini-1.5-Flash,neutral
"The movie was a so-so movie.  Nothing to rave about.",Gemini-1.5-Flash,neutral
"The event was pretty uneventful.  It was okay.",Gemini-1.5-Flash,neutral
"The venue was conveniently located.  That was a plus.",Gemini-1.5-Flash,neutral
"The product was alright for the price.  Not bad value.",Gemini-1.5-Flash,neutral
"The movie was a bit cheesy, but entertaining.",Gemini-1.5-Flash,neutral
"The event was well-organized, but a bit boring.",Gemini-1.5-Flash,neutral
"The venue was modern and clean.",Gemini-1.5-Flash,neutral
"The product was simple to use.  That's a plus.",Gemini-1.5-Flash,neutral
"The movie was okay for a casual viewing.",Gemini-1.5-Flash,neutral
"The event was average.  It wasn't bad, but it wasn't great.",Gemini-1.5-Flash,neutral
"The venue was fairly priced.  No complaints there.",Gemini-1.5-Flash,neutral
"The product was durable enough.  It held up well.",Gemini-1.5-Flash,neutral
"The movie was a typical action film.  Nothing groundbreaking.",Gemini-1.5-Flash,neutral
"The event was a bit crowded, but manageable.",Gemini-1.5-Flash,neutral
"The venue had adequate parking.  That was convenient.",Gemini-1.5-Flash,neutral
"The product was easy to assemble.  That was helpful.",Gemini-1.5-Flash,neutral
"The movie was a bit predictable, but still enjoyable.",Gemini-1.5-Flash,neutral
"The event was well-paced.  It didn't drag on.",Gemini-1.5-Flash,neutral
"The venue was accessible.  Easy to get to.",Gemini-1.5-Flash,neutral
"The product was a decent value for the money.",Gemini-1.5-Flash,neutral
"The movie was a good way to spend an evening.",Gemini-1.5-Flash,neutral
"The event was pleasant enough.  It was a nice way to spend an afternoon.",Gemini-1.5-Flash,neutral
"The venue was clean and well-maintained.",Gemini-1.5-Flash,neutral
"The product was functional and reliable.  It did its job.",Gemini-1.5-Flash,neutral
"The movie was a decent watch.  I wouldn't say it was amazing, but it was fine.",Gemini-1.5-Flash,neutral
"The event was okay, but could have been better.",Gemini-1.5-Flash,neutral
"The venue was alright, nothing special.",Gemini-1.5-Flash,neutral
"The product was a bit underwhelming, but it worked.",Gemini-1.5-Flash,neutral
"The movie was a bit slow-paced, but the story was good.",Gemini-1.5-Flash,neutral
"The event was well-organized, but a bit pricey.",Gemini-1.5-Flash,neutral
"The venue was a bit far out, but it was nice.",Gemini-1.5-Flash,neutral
"The product was a bit complicated to use, but it worked well.",Gemini-1.5-Flash,neutral
"The movie was okay, I guess.  It wasn't bad, but it wasn't great.",Gemini-1.5-Flash,neutral
"The event was enjoyable, but a bit short.",Gemini-1.5-Flash,neutral
"The venue was clean and modern.",Gemini-1.5-Flash,neutral
"The product was a decent option.  It met my needs.",Gemini-1.5-Flash,neutral
"The movie was an average film.  Nothing particularly memorable.",Gemini-1.5-Flash,neutral
"The event was a bit crowded, but the atmosphere was good.",Gemini-1.5-Flash,neutral
"The venue was easy to find and park at.",Gemini-1.5-Flash,neutral
"The product was simple to use and effective.",Gemini-1.5-Flash,neutral
"The movie was a bit predictable, but entertaining nonetheless.",Gemini-1.5-Flash,neutral
"The event was well-organized and ran smoothly.",Gemini-1.5-Flash,neutral
"The venue was comfortable and spacious.",Gemini-1.5-Flash,neutral
"The product was a good value for the money.  It was worth the price.",Gemini-1.5-Flash,neutral
"The movie was okay, but nothing special.",Gemini-1.5-Flash,neutral
"The event was a bit underwhelming, but it was okay.",Gemini-1.5-Flash,neutral
"The venue was clean and well-maintained.",Gemini-1.5-Flash,neutral
"The product was functional and reliable.",Gemini-1.5-Flash,neutral
"The movie was a decent watch.  It wasn't amazing, but it was watchable.",Gemini-1.5-Flash,neutral
"The event was okay, but a bit overpriced.",Gemini-1.5-Flash,neutral
"The venue was a bit noisy, but otherwise okay.",Gemini-1.5-Flash,neutral
"The product was a bit flimsy, but it worked.",Gemini-1.5-Flash,neutral
"The movie was a bit slow, but the acting was good.",Gemini-1.5-Flash,neutral
"The event was well-organized, but a bit boring.",Gemini-1.5-Flash,neutral
"The venue was conveniently located.",Gemini-1.5-Flash,neutral
"The product was a simple, effective tool.",Gemini-1.5-Flash,neutral
"The movie was okay for a lazy Sunday afternoon.",Gemini-1.5-Flash,neutral
"The event was average, nothing to write home about.",Gemini-1.5-Flash,neutral
"The venue was clean and comfortable.",Gemini-1.5-Flash,neutral
"The product was a decent purchase.  It did what it was supposed to do.",Gemini-1.5-Flash,neutral
"The movie was a bit predictable, but still enjoyable.",Gemini-1.5-Flash,neutral
"The event was well-attended, but a bit crowded.",Gemini-1.5-Flash,neutral
"The venue was accessible and easy to get to.",Gemini-1.5-Flash,neutral
"The product was a good value for the price.",Gemini-1.5-Flash,neutral
"The movie was a decent way to spend an evening.",Gemini-1.5-Flash,neutral
"The event was pleasant enough.  It was a nice way to spend some time.",Gemini-1.5-Flash,neutral
"The venue was clean and well-maintained.",Gemini-1.5-Flash,neutral
"The product was functional and reliable.  It did its job.",Gemini-1.5-Flash,neutral
"The movie was a decent watch.  It wasn't amazing, but it was fine.",Gemini-1.5-Flash,neutral
"The event was okay, but could have been better.",Gemini-1.5-Flash,neutral
"The venue was alright, nothing special.",Gemini-1.5-Flash,neutral
"The product was a bit underwhelming, but it worked.",Gemini-1.5-Flash,neutral
"The movie was a bit slow-paced, but the story was good.",Gemini-1.5-Flash,neutral
"The event was well-organized, but a bit pricey.",Gemini-1.5-Flash,neutral
"The venue was a bit far out, but it was nice.",Gemini-1.5-Flash,neutral
"The product was a bit complicated to use, but it worked well.",Gemini-1.5-Flash,neutral
"The movie was okay, I guess. It wasn't bad, but it wasn't great.",Gemini-1.5-Flash,neutral
"The event was enjoyable, but a bit short.",Gemini-1.5-Flash,neutral
"The venue was clean and modern.",Gemini-1.5-Flash,neutral
"The product was a decent option. It met my needs.",Gemini-1.5-Flash,neutral
"The movie was an average film. Nothing particularly memorable.",Gemini-1.5-Flash,neutral
"The event was a bit crowded, but the atmosphere was good.",Gemini-1.5-Flash,neutral
"The venue was easy to find and park at.",Gemini-1.5-Flash,neutral
"The product was simple to use and effective.",Gemini-1.5-Flash,neutral
"The movie was a bit predictable, but entertaining nonetheless.",Gemini-1.5-Flash,neutral
"The event was well-organized and ran smoothly.",Gemini-1.5-Flash,neutral
"The venue was comfortable and spacious.",Gemini-1.5-Flash,neutral
"The product was a good value for the money. It was worth the price.",Gemini-1.5-Flash,neutral
"The movie was okay, but nothing special.",Gemini-1.5-Flash,neutral
"The event was a bit underwhelming, but it was okay.",Gemini-1.5-Flash,neutral
"The venue was clean and well-maintained.",Gemini-1.5-Flash,neutral
"The product was functional and reliable.",Gemini-1.5-Flash,neutral
"The concert was alright, a bit loud for my taste, but the venue was nice and easy to get to.",Gemini-1.5-Flash,neutral
"Pretty good movie, I've seen better, but it wasn't a waste of time.  The acting was decent.",Gemini-1.5-Flash,neutral
"This product is okay, does what it's supposed to, nothing special.  I might buy it again.",Gemini-1.5-Flash,neutral
"The pizza was just average.  The crust was a bit too thin, but the toppings were fresh.",Gemini-1.5-Flash,neutral
"That new event was interesting. I learned a few things, but it could have been better organized.",Gemini-1.5-Flash,neutral
"The venue was clean and spacious.  Parking was a bit of a hassle, though.  Overall, a decent experience.",Gemini-1.5-Flash,neutral
"I'm not sure about this new phone. The camera is good, but the battery life is terrible.",Gemini-1.5-Flash,neutral
"This book was a bit slow to start, but it picked up towards the end.  Worth a read.",Gemini-1.5-Flash,neutral
"The service at the restaurant was prompt and friendly.  The food was average.",Gemini-1.5-Flash,neutral
"This coffee is pretty strong, a bit too strong for my liking, but the flavor is good.",Gemini-1.5-Flash,neutral
"The game was exciting, even though my team lost.  The stadium was packed.",Gemini-1.5-Flash,neutral
"The hotel was comfortable enough for a short stay.  The breakfast was underwhelming.",Gemini-1.5-Flash,neutral
